country,world_region
Afghanistan,South and Southeat Asia
Albania,Europe
Algeria,"North Africa, West and Central Asia"
American Samoa,North America and Oceania
Angola,Sub-Saharan Africa
Antigua and Barbuda,North America and Oceania
Argentina,Latin America
Armenia,"North Africa, West and Central Asia"
Aruba,Latin America
Australia,North America and Oceania
Austria,Europe
Azerbaijan,"North Africa, West and Central Asia"
Bahamas,North America and Oceania
Bahrain,"North Africa, West and Central Asia"
Bangladesh,South and Southeat Asia
Barbados,North America and Oceania
Belarus,Europe
Belgium,Europe
Belgium-Luxembourg,Europe
Belize,Latin America
Benin,Sub-Saharan Africa
Bermuda,North America and Oceania
Bhutan,South and Southeat Asia
Bolivia (Plurinational State of),Latin America
Bosnia and Herzegovina,Europe
Botswana,Sub-Saharan Africa
Brazil,Latin America
Brunei Darussalam,Industrialized Asia
Bulgaria,Europe
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cambodia,South and Southeat Asia
Cameroon,Sub-Saharan Africa
Canada,North America and Oceania
Cayman Islands,North America and Oceania
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Chile,Latin America
China,Industrialized Asia
"China, Hong Kong SAR",Industrialized Asia
"China, Macao SAR",Industrialized Asia
"China, mainland",Industrialized Asia
"China, Taiwan Province of",Industrialized Asia
Colombia,Latin America
Comoros,Sub-Saharan Africa
Congo,Sub-Saharan Africa
Cook Islands,North America and Oceania
Costa Rica,Latin America
Cote d'Ivoire,Sub-Saharan Africa
Croatia,Europe
Cuba,Latin America
Cyprus,Europe
Czechia,Europe
Czechoslovakia,Europe
Democratic People's Republic of Korea,Industrialized Asia
Democratic Republic of the Congo,Sub-Saharan Africa
Denmark,Europe
Djibouti,Sub-Saharan Africa
Dominica,North America and Oceania
Dominican Republic,Latin America
Ecuador,Latin America
Egypt,"North Africa, West and Central Asia"
El Salvador,Latin America
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,Europe
Eswatini,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Ethiopia PDR,Sub-Saharan Africa
Faroe Islands,Europe
Fiji,North America and Oceania
Finland,Europe
France,Europe
French Guiana,Latin America
French Polynesia,North America and Oceania
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Georgia,"North Africa, West and Central Asia"
Germany,Europe
Ghana,Sub-Saharan Africa
Greece,Europe
Greenland,North America and Oceania
Grenada,North America and Oceania
Guadeloupe,Latin America
Guatemala,Latin America
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,Latin America
Haiti,Latin America
Honduras,Latin America
Hungary,Europe
Iceland,Europe
India,South and Southeat Asia
Indonesia,South and Southeat Asia
Iran (Islamic Republic of),"North Africa, West and Central Asia"
Iraq,"North Africa, West and Central Asia"
Ireland,Europe
Israel,"North Africa, West and Central Asia"
Italy,Europe
Jamaica,North America and Oceania
Japan,Industrialized Asia
Jordan,"North Africa, West and Central Asia"
Kazakhstan,"North Africa, West and Central Asia"
Kenya,Sub-Saharan Africa
Kiribati,North America and Oceania
Kuwait,"North Africa, West and Central Asia"
Kyrgyzstan,"North Africa, West and Central Asia"
Lao People's Democratic Republic,South and Southeat Asia
Latvia,Europe
Lebanon,"North Africa, West and Central Asia"
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,"North Africa, West and Central Asia"
Lithuania,Europe
Luxembourg,Europe
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,South and Southeat Asia
Maldives,South and Southeat Asia
Mali,Sub-Saharan Africa
Malta,Europe
Marshall Islands,North America and Oceania
Martinique,Latin America
Mauritania,"North Africa, West and Central Asia"
Mauritius,Sub-Saharan Africa
Mexico,Latin America
Micronesia (Federated States of),North America and Oceania
Mongolia,Industrialized Asia
Montenegro,Europe
Montserrat,North America and Oceania
Morocco,"North Africa, West and Central Asia"
Mozambique,Sub-Saharan Africa
Myanmar,South and Southeat Asia
Namibia,Sub-Saharan Africa
Nauru,North America and Oceania
Nepal,South and Southeat Asia
Netherlands (Kingdom of the),Europe
Netherlands Antilles (former),North America and Oceania
New Caledonia,North America and Oceania
